Datum,Type,Aantal,AantalCumulatief
2020-04-18,Overleden besmette bewoners,62.0,1581.0
2020-04-19,Positief geteste bewoners,108.0,5503.0
2020-04-19,Overleden besmette bewoners,80.0,1661.0
2020-04-20,Positief geteste bewoners,154.0,5657.0
2020-04-20,Overleden besmette bewoners,47.0,1708.0
2020-04-21,Positief geteste bewoners,165.0,5822.0
2020-04-21,Overleden besmette bewoners,84.0,1792.0
2020-04-22,Positief geteste bewoners,223.0,6045.0
2020-04-22,Overleden besmette bewoners,67.0,1859.0
2020-04-23,Positief geteste bewoners,177.0,6222.0
2020-04-23,Overleden besmette bewoners,62.0,1921.0
2020-04-24,Positief geteste bewoners,144.0,6366.0
2020-04-24,Overleden besmette bewoners,60.0,1981.0
2020-04-25,Positief geteste bewoners,117.0,6483.0
2020-04-25,Overleden besmette bewoners,48.0,2029.0
2020-04-26,Positief geteste bewoners,83.0,6566.0
2020-04-26,Overleden besmette bewoners,50.0,2079.0
2020-04-27,Positief geteste bewoners,44.0,6610.0
2020-04-27,Overleden besmette bewoners,38.0,2117.0
2020-04-28,Positief geteste bewoners,120.0,6730.0
2020-04-28,Overleden besmette bewoners,38.0,2155.0
2020-04-29,Positief geteste bewoners,119.0,6849.0
2020-04-29,Overleden besmette bewoners,42.0,2197.0
2020-04-30,Positief geteste bewoners,111.0,6960.0
2020-04-30,Overleden besmette bewoners,38.0,2235.0
2020-05-01,Positief geteste bewoners,126.0,7086.0
2020-05-01,Overleden besmette bewoners,37.0,2272.0
2020-05-02,Positief geteste bewoners,67.0,7153.0
2020-05-02,Overleden besmette bewoners,37.0,2309.0
2020-05-03,Positief geteste bewoners,39.0,7192.0
2020-05-03,Overleden besmette bewoners,29.0,2338.0
2020-05-04,Positief geteste bewoners,82.0,7274.0
2020-05-04,Overleden besmette bewoners,32.0,2370.0
2020-05-05,Positief geteste bewoners,53.0,7327.0
2020-05-05,Overleden besmette bewoners,23.0,2393.0
2020-05-06,Positief geteste bewoners,70.0,7397.0
2020-05-06,Overleden besmette bewoners,34.0,2427.0
2020-05-07,Positief geteste bewoners,69.0,7466.0
2020-05-07,Overleden besmette bewoners,27.0,2454.0
2020-05-08,Positief geteste bewoners,58.0,7524.0
2020-05-08,Overleden besmette bewoners,22.0,2476.0
2020-05-09,Positief geteste bewoners,62.0,7586.0
